business,url,search_query,position
Whidbey Island Arts Council,https://www.islandartscouncil.org,"WIAC fosters local artists and arts organizations through grants, fiscal management and sponsorship  Whidbey",2
Island Auction,https://www.islandauctionllc.com,retail auctions Whidbey,1
Island Christian Academy,https://www.islandchristianacademy.com,k-12 Christian education Whidbey,1
Island Construction Company,https://www.facebook.com/p/Island-Construction-Company-100057076014953,"roofing, decks, painting, kitchen and bath remodels, and gutters general contractor construction Whidbey",5
Island Ductless Solutions,https://www.islandheatpumps.com,"heat pumps, ductless general contractor construction Whidbey",1
Island Explorer,https://www.whidbeyislandkayaking.com,marine adventure kayak rentals Whidbey,1
Island Herb Merch,https://whidbeyislandherb.com,retail cannabis Whidbey,3
Island Nautilus,https://islandathleticclub.com,fitness Island Athletic Club Whidbey,1
Island Nosh,https://www.islandnosh.com,Nosh Whidbey,1
Island Roofing & Remodel,https://roofingwhidbey.com,roofing general contractor construction Whidbey,4
Island Roots Housing,https://islandrootshousing.org,local housing Whidbey,5
Isle Of Art,https://featherandfoxprintco.com,"gifts, printing services design, print Whidbey",1
IWS,https://www.irishweldingservices.com,"metal fabrication welding, custom, repairs Whidbey",3
mommafish,https://www.mommafish.com,Omakase Dinners Whidbey,1
J.Johnson Insurance,https://www.jjinshealthchoices.com,"financial services health insurance, life, employee Whidbey",3
Jade Craftsman Builders,https://www.jadecraftsmanbuilders.com,home builder general contractor construction Whidbey,9
Jerry Beck & Company,http://www.jerrybeck.com,"electrical, voice and data wiring general contractor construction Whidbey",2
Kids First - Island County,https://kidsfirst-ic.org,youth Helping children in foster care Whidbey,1
Kingspoke Marine Surveying,https://kingspokemarine.com,marine marine surveyor Whidbey,1
Kula Yoga & Wellness,http://kulayogawhidbey.com,yoga studio Whidbey,2
Lachaussee Blown Glass,https://www.lachausseeblownglass.com,blown glass Whidbey,9
Langley United Methodist Church,https://langleyumc.org,church methodist Whidbey,1
Langley Village Association,https://langleymainstreet.org,Langley Main St Whidbey,1
Leroy M. Boren Construction,https://borenconstruction.com,home builder general contractor construction Whidbey,2
Lesedi Farm,https://www.lesedifarm.com,"Farm to table, prepackaged meals Whidbey",2
Let There Be Light Services,https://lettherebelightservices.com,window and gutter cleaning Whidbey,2
Light Hiking Gear,https://lighthikinggear.com,retail hiking supplies Whidbey,2
Live Edge Woodworks,http://liveedgewoodworks.com,salvaged wood and lumber general contractor construction Whidbey,3
Long Family Farm,https://joelongfamilyfarm.com,farm GRASS-FED BEEF FROM MAXWELTON VALLEY ON WHIDBEY ISLAND Whidbey,1
Love Bug Pet Massage,https://www.lovebugpetmassage.com,pet massage pet services Whidbey,1
"Lynne Donnelly, CST, EFTCert-II",http://www.lynne.org,"healthcare provider CranioSacral Therapy, Qi Therapy/Qigong Whidbey",1
Market Square Education,https://marketsquare.education,nationally accredited and a Washington State OSPI approved online provider Whidbey,4
Mcbride Fence,https://www.mcbridefenceinc.com,fencing general contractor construction Whidbey,1
Meerkerk Rhododendron Gardens,http://www.meerkerkgardens.org,gardening Whidbey,6
Metamorphe Health Clinic P.C.,https://www.metamorphehealth.com,healthcare provider Naturopathic care Whidbey,2
Monarch Metal Works,https://www.monarchmetalworks.com,metal fabrication metal works Whidbey,1
Museo Gallery,https://museo.cc,gallery Whidbey,3
Music For The Eyes Ltd,https://www.musicfortheeyes.com,retail antique and oriental rugs Whidbey,1
Mutiny Bay Bamboo Co L.L.C.,https://www.facebook.com/p/Mutiny-Bay-Bamboo-Co-100063534670413,bamboo privacy screens Whidbey,4
Mutiny Bay Blues,https://mutinybayblues.com,farm blueberries Whidbey,1
Oasis For Animals,http://oasisforanimals.org,no kill shelter animal shelter Whidbey,2
Ogres Brewing,https://ogresbrewing.com,Brewery Whidbey,4
Orca Network,http://www.orcanetwork.org,educating the public and protecting orcas and their habitat Whidbey,2
Our Nature Acupuncture,https://www.ournatureacupuncture.com,acupuncture Whidbey,3
Outcast Productions,http://outcastproductions.net,theatre production company Whidbey,1
Pacific Landscapes Of Whidbey,https://www.pacificlandscapesofwhidbey.com,landscape design Whidbey,1
"Paul Samuelson, Pmhnp-Bc, Inc",https://www.whidbeyintegrativepsychiatry.com,healthcare provider psychiatric care Whidbey,5
"Peak Performance Chiropractic Center, Ps",https://peakperformancechiropractic.com,healthcare provider chiropractor Whidbey,4
Pillar Physical Therapy,https://www.ptpillar.com,physical therapy in Clinton Dr. Jeremy Cornwell Whidbey,1
Possession Point Woodworking,http://possessionwood.com,fine furniture and cabinetry Whidbey,5
Prevail K9 Training,https://prevailk9training.com,dog training Whidbey,2
"Primal Island, Inc",https://primalisland.com,"food producer granola, gluten-free, grain-free Whidbey",1
"Reboot Center For Innovative Medicine, Pllc",https://rebootcenter.com,healthcare provider restorative care Whidbey,3
Reconnective Therapy Incorporated,https://www.reconnectivetherapy.com,ReConnective Therapy Whidbey,2
Redbarn Millworks,https://www.redbarnmillworks.com,"New construction, remodels, fine cabinetry, specializing in the use of Salvage and Eco Friendly Materials general contractor construction Whidbey",1
Resonant Botanicals,https://resonantbotanicals.com,all natural pain relief lotions and creams Whidbey,1
Ricard Ennis - Rolfing,http://richennisrolfing.com,"Certified Advanced Rolfer Nerve Mobilization, Scar Treatment and Cold Laser Therapy Whidbey",2
RL Simmons Construction,https://www.rlconstructionwhidbey.com,"Logging, Land Clearing & Excavation general contractor construction Whidbey",1
Rob Schouten Gallery & Sculpture Garden,https://www.robschoutengallery.com,art gallery Whidbey,8
"Robert Jangaard, P.S.",https://www.jangaardclinic.com,healthcare provider functional and naturopathic medicine Whidbey,1
Rocket Taco,https://rocket-taco.com,"Mexican food, fresh and authentic Whidbey",6
Rod And Gun Safety Education Club,https://www.hhrodandgun.com,gun safety Whidbey,7
Roots Landscaping & Restoration,https://christine-tasseff.squarespace.com,"landscaping, preservation and restoration services  Whidbey",4
Rotary Club Of South Whidbey Island,https://portal.clubrunner.ca/811,rotary Whidbey,3
Rotary Club Of Whidbey Westside,https://portal.clubrunner.ca/9353,rotary Whidbey,2
Rumours,http://www.rumoursaveda.net,beauty hair salon Whidbey,5
"Sage Counterstrain, Pllc        Langley        Wa        -Bizapedia -Opengovwa -.Gov -Washingtoncompanysearch -Yelp -Sicba -Whidbeylocal -Dnb -Officialusa -Clustrmaps",https://www.soundviewcenter.com,healthcare provider Counterstrain Treatment Whidbey,1
Salish Sea Cooperative Finance,https://salishseafinance.coop,"helping members align their money with their values through investing, borrowing, and financial literacy.  Whidbey",1
Salon Bella,https://salonbellawhidbey.com,beauty hair salon Whidbey,2
Salty Sea Coffee,https://www.saltyseacoffee.com,Coffee at Clinton ferry dock Whidbey,2
Saratoga Chamber Orchestra,https://www.sowhidbey.com,orchestra Whidbey,2
Saratoga Environmental,https://saratogaenv.com,"environmental and land development services to landowners, builders, architects and real estate agents in Island County general contractor construction Whidbey",1
Saratoga Inn,https://www.saratogainnlangley.com,bed and breakfast Whidbey,5
Saratoga Yacht Charters,https://saratogayachtcharters.com,marine adventure yacht charter Whidbey,1
Schisel Construction,https://www.schisel.com,"home builder, remodels, additions general contractor construction Whidbey",5
Scotch Whisky Events,https://www.scotchwhiskyevents.com,Scotch and whiskey tastings Whidbey,1
Scotch Whisky Events2,https://www.scotchwhiskyevents.com,tastings scotch and whiskey tastings Whidbey,1
Seaglass Cove,https://www.seaglasslangley.com,retail home decor art and gifts Whidbey,6
Seinergy,https://seinergy.com,energy conservation for indoor growers and technical advisor to utility companies Whidbey,1
Senior Services Of Island County Public Benefit,https://senior-resources.org,senior services senior services Whidbey,1
Seven Cedars Dog Training,https://www.7cedarsdogtraining.com,dog training Whidbey,6
Shelly Ackerman,https://www.shellyackerman.com,"transformative healer Organizing, healing facilitator Whidbey",1
Simmons Garage,https://www.theshopatsimmonsgarage.com,automotive auto repair Whidbey,5
Skein & Tipple,https://skeinandtipple.com,Cocktails and yarn Whidbey,1
Slow Food Whidbey Island,https://slowfoodwhidbeyisland.org,slow food Whidbey,1
Solid Stone Boxing,https://www.solidstoneboxing.com,fitness fitness - boxing gym Whidbey,2
Soma Institute Of Structural Integration,https://www.soma-institute.org,soma certification Whidbey,1
Soroptimists International Of South Whidbey Island,https://soroptimistsouthwhidbey.org,girl empowerment Whidbey,2
Sound Business Center,https://www.sbccopycenter.com,retail copy center office supply Whidbey,1
Sound Support & Solutions,https://soundsupport.biz,computer help mac & iphone computer help mac & iphone Whidbey,1
South Island Crossfit,https://www.southislandcrossfit.com,"fitness gym, crossfit Whidbey",1
South Whidbey Animal Clinic,https://southwhidbeyac.com,veterinary clinic veterinarian Whidbey,1
South Whidbey Assembly Of God,https://www.swagchurch.com,"Church, Christian  Whidbey",9
South Whidbey At Home,https://swathome.clubexpress.com,senior services helping at home senior services helping at home Whidbey,3
South Whidbey Church Of Christ,https://www.southwhidbeychurchofchrist.org,"Church, Christian  Whidbey",3
South Whidbey Commons,https://www.swcommonscafe.org,Cafe Whidbey,3
South Whidbey Good Cheer,https://goodcheer.org,food bank Whidbey,2
South Whidbey Historical Society,https://southwhidbeyhistory.org,historical society Whidbey,1
South Whidbey Physical Therapy And Sports Clinic,https://southwhidbeypt.com,healthcare provider physical therapy Whidbey,3
South Whidbey Pride,https://southwhidbeypride.org/,all members live safely and openly as their authentic selves Whidbey,1
South Whidbey Schools Foundation,https://swsfoundation.org,building relationships between our community and schools Whidbey,2
South Whidbey Tilth Association,https://www.southwhidbeytilth.org,"we are a community of gardeners, farmers and consumers on South Whidbey Island who support good tilth–carbon-rich, living soil–as the foundation of a vibrant and biodiverse agriculture.  Whidbey",1
South Whidbey Yacht Club,https://swyachtclub.org,yacht club Whidbey,1
Sp Industrial Lubrication & Air,https://www.spi-airlube.com,Industrial Lubrication and Compressed Air Systems Whidbey,2
Sprinklz,https://sprinklz-icecream.com,Ice cream Whidbey,4
"St. Augustine'S In-The-Woods Episcopal Parish, Freeland,  Washington",https://www.staugustinesepiscopalchurch.org,"church, episcopal  Whidbey",1
Stillfire Pottery,https://stillfirepottery.com,retail housewares hand crafted porcelain bowls Whidbey,1
Sugarpill,https://sugarpillseattle.com,retail apothecary Whidbey,2
Sweet Sisters Bodycare,https://sweetsistersbodycare.com,beauty skin and hair care Whidbey,6
The Body Praxis,https://www.thebodypraxis.com,fully customized cutting-edge brain and body fitness program for you Whidbey,1
The Christian And Missionary Alliance Church Of Langley,https://icwhidbey.org,"church, Christian  Whidbey",4
The Clyde Theatre Llp,http://theclyde.net,movie theatre Whidbey,1
The Giraffe Project Dba The Giraffe Project,https://www.giraffe.org,"honoring compassionate risk-takers with the courage to stick their necks out for the common good, in the US and around the world.  Whidbey",1
The Hub - Youth Central,http://www.thehubafterschool.org,youth youth afterschool Whidbey,1
The Inn At Langley,https://innatlangley.com,lodging Inns Whidbey,3
The Langley Chamber Of Commerce,https://visitlangley.com,chamber of commerce Whidbey,3
The Langley Community Club,https://langleycommunityclub.wordpress.com,Langley community club Whidbey,2
The M-Bar-C Ranch (The Forgotten Children'S Fund),https://www.facebook.com/mbcranch,horse refuge Whidbey,3
The Organic Farm School,https://organicfarmschool.org,Regenerative Learning Center Whidbey,5
The Preserve At Trillium2,https://www.wclt.org,nature preserve Whidbey,5
The Tova Company,https://tovatest.com,"assessment of, and evaluation of treatment for, attention deficits, including ADHD  Whidbey",1
The Trinity Lutheran Church Of Freeland,https://trinitylutheranfreeland.org,Lutheran church Whidbey,1
The Washington State Society Of The National Society Of The Daughters Of The American Revolution,https://www.wadar.org,Daughters of the American Revolution Whidbey,5
The Whidbey Institute,https://whidbeyinstitute.org,nurturing the conditions for transformational learning Whidbey,1
The Whidbey Wayfarer,https://whidbeyislandwedding.com,event spaces weddings Whidbey,9
Third Act,https://www.savoryrestaurantwhidbey.com,Eclectic comfort food Whidbey,1
Tiger Martial Arts,http://tigermartialarts.info,fitness martial arts studio Whidbey,5
Tinyblue Foundation,http://www.tinyblue.com,private observatory private observatory Whidbey,1
Tmi Land Surveying,https://tmilandsurveying.com,land surveyor general contractor construction Whidbey,2
Travis Furlanic Mushroom Tours,https://www.whidbeymushroomtours.com,explore nature mushroom tours Whidbey,1
Tricia'S Pet Care,https://triciaspetcare.com,in-house pet sitting pet services Whidbey,5
Unity Of Whidbey,https://www.unityofwhidbey.org,"church, Unity  Whidbey",1
Useless Bay Golf & Country Club,https://www.uselessbaygolf.com,"sports golf, country club Whidbey",2
Ust Training,https://usttraining.com,"driver training, class A, B and C UST  Whidbey",2
Vamola Brazilian Music And Dance,https://vamola.org,"performing musicians, Brazilian drum and dance  Whidbey",2
Venture Out Corp.,https://www.ventureoutnursery.com,retail nursery Whidbey,1
Veterans Resource Center,https://www.whidbeyvrc.org,veteran resources Whidbey,1
Waif Endowment Foundation,https://waifanimals.org,animal rehoming and animal rescue Whidbey,1
Waterman Enterprises,http://watermanselfstorageinfo.com,retail self storage Whidbey,5
Webbs Department Store,https://whidbeycamanoislands.com/activities/webbs-department-store,retail department store Whidbey,1
Whidbey Audubon Society,https://www.whidbeyaudubonsociety.org,audubon society Whidbey,1
Whidbey Children'S Theater,https://wctmagic.org,children's theatre Whidbey,1
"Whidbey Dizziness & Balance, Pllc",https://www.whidbeydizzy.com,physical therapy treats dizziness and helps with balance Whidbey,1
Whidbey Dog Works,https://www.whidbeydogs.com,dog training Whidbey,5
Whidbey Environmental Action Network,https://www.whidbeyenvironment.org,wean environmental protection Defending vital ecosystems in Island County and beyond since 1989 Whidbey,1
Whidbey Equine Massage And Bodywork,https://www.facebook.com/whidbeyequinemassageandbodywork,Equine Massage and Bodywork  equestrian services Whidbey,1
Whidbey Event Rentals,https://whidbeyeventrentals.com,event spaces event supplies (rentals) Whidbey,2
Whidbey Geological L.L.C.,https://www.whidbeygeological.com,"geological services, site plans general contractor construction Whidbey",1
WhidbeyHealth,https://whidbeyhealth.org/locations/,"Clinton walk-in clinic, Freeland behavioral health Whidbey",2
Whidbey Heating & Stoves,https://www.whidbeystoves.com,"wood fireplaces, sales and service  Whidbey",3
Whidbey Home Remodel And Repair,https://www.whidbeyhomeremodel.com,remodels general contractor construction Whidbey,1
Whidbey Home Watch,https://www.hwwhidbey.com,home maintenance Whidbey,1
Whidbey Homeless Coalition,https://www.whidbeyhomeless.org,Making homelessness a brief and rare experience on Whidbey Island Whidbey,2
Whidbey Island Bed And Breakfast,https://www.whidbeybandb.com,lodging bed and breakfast Whidbey,3
Whidbey Island Cannabis Company,http://www.whidbeyislandcannabisco.com,health and wellness products cannabis retailer in Freeland Whidbey,4
Whidbey Island Cannabis Company Culture2,http://www.whidbeyislandcannabisco.com,retail cannabis Whidbey,1
Whidbey Island Center For The Arts,https://www.wicaonline.org/,deepening our shared humanity and sense of belonging through art Whidbey,1
Whidbey Island Dahlias,https://www.whidbeydahlias.com,farm dahlias Whidbey,1
Whidbey Island Dance Theatre,https://www.widtonline.org,dance theatre Whidbey,1
Whidbey Island Distilleries,https://www.whidbeydistillery.com,dinning spirits Whidbey,2
Whidbey Island Garden Tour,https://www.wigt.org,gardening annual garden tour Whidbey,1
Whidbey Island Grown Cooperative,https://www.whidbeyislandgrown.com,farm collective food co-op Whidbey,1
Whidbey Island Holistic Health Association,https://www.wihha.com,association for holistic health Whidbey,1
"Whidbey Island Language, Art & Stem Center",https://www.wilasc.com,"childhood education, afterschool and summer programs  Whidbey",1
Whidbey Island Nourishes,https://www.whidbeyislandnourishes.org,food security and nourishment programs for youth on South Whidbey Island Whidbey,1
Whidbey Island Orchestra,https://www.whidbeyorchestras.org,orchestra Whidbey,1
Whidbey Island Painting Inc,https://whidbeyislandpaintinginc.com,painting general contractor construction Whidbey,1
Whidbey Island Waldorf School,https://wiws.org,waldorf school Whidbey,1
"Whidbey Performance Physical Therapy, Pllc",http://www.whidbeyperformancept.com,healthcare provider physical therapy Whidbey,1
"Whidbey Pies, Etc.",https://whidbeypies.com,dinning pies Whidbey,2
Whidbey Roof & Gutter Cleaning Inc,https://whidbeyroofandguttercleaning.com,roof and gutter cleaning Whidbey,1
Whidbey Sun & Wind,http://www.whidbeysunwind.com,"solar power, wind power general contractor construction Whidbey",1
Whidbey Telephone Company,https://www.whidbeytel.com,phone service phone service Whidbey,1
Whidbey Wash,https://whidbeywash.com,Auto Detailing eco-friendly mobile auto detailing Whidbey,1
Whidbey Watershed Stewards,https://whidbeywatersheds.org,"environmental protection, education, services promotes nearshore and watershed health by linking water, land, wildlife and people on Whidbey Island through education, research, and restoration Whidbey",1
Whidbey-Camano Land Trust,https://www.wclt.org,"environmental protection, education, services The mission of the Whidbey Camano Land Trust is to actively involve the community in protecting, restoring, and appreciating the important natural habitats and resource lands that support the diversity of life on our islands and in the waters of Puget Sound. Whidbey",1
"Whidbey'S T&T Construction, Inc",https://whidbeystandtconstruction.com,earthwork general contractor construction Whidbey,1
Whidbey'S Topsoil,https://whidbeystopsoil.com,"retail soil, bark, gravel, firewood Whidbey",1
Wildly Beloved Foods,https://wildlybelovedfoods.com,food producer wholesale pasta Whidbey,1
Xenv,http://www.whidbeyenvironment.org/,Defending vital ecosystems in Island County and beyond since 1989 Whidbey,1
